what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290547883444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547886888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547922724
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290547924055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547925016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547928574
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1290547931403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547932955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547950734
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290547954070
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547954654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547955948
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1290547956853
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290547958115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547959041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547960657
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1290547961387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290547999120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548028621
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290548030139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548030434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548032061
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1290548034525
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290548036712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548037617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548040334
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1290548042114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548077894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548207834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548217385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548364941
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1290548365956
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290548367217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548370514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548371967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548373140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548521113
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1290548522390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548534240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548541269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548546305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548568678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548570843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290548601128
