what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220369256
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1291220369267
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291220370459
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291220375522
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291220381896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220382364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220383772
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291220400350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220404872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220414938
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1291220416711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220418205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220419632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291220435386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222594688
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291222595921
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291222596037
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1291222602554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1291222612040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291222620564
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291222622400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222623013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222625760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222626846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222746337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222748153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222938914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291222940038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291223301426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291223302089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291224360091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291224365108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291224383746
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291224385623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291224391068
