D:\Data\LTI_Projects\CALGUI\Workspace\Run\Lookup\gui_RioVista.table
year_type month day
1 1 4000
1 2 4500
1 3 4500
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 0
1 12 3000
2 1 4000
2 2 4500
2 3 4500
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 3000
3 1 4000
3 2 4500
3 3 4500
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 0
3 10 0
3 11 0
3 12 3000
4 1 4000
4 2 4500
4 3 4500
4 4 0
4 5 0
4 6 0
4 7 0
4 8 0
4 9 0
4 10 0
4 11 0
4 12 3000
5 1 3000
5 2 3500
5 3 3500
5 4 0
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 0
5 11 0
5 12 3000
