wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4428.14746094
1000.0        4428.14746094
1500.0        4428.14746094
2000.0        4428.14746094
2500.0        4428.14746094
3000.0        4428.14746094
3500.0        4428.14746094
4000.0        4428.14746094
4500.0        4428.14746094
5000.0        4428.14746094
5500.0        4428.14746094
6000.0        4428.14746094
6500.0        4745.42957305
7000.0        5577.7633542
7500.0        5762.25086449
8000.0        6366.78326425
8500.0        7500.25273627
9000.0        8182.54755484
9500.0        8847.6402728
10000.0        9838.87336576
10500.0        10581.8950332
11000.0        11305.3690739
11500.0        11647.2204599
12000.0        11846.8461462
12500.0        11905.6530459
13000.0        11905.6530459
13500.0        12044.0203759
14000.0        12055.6966647
14500.0        12055.6966647
15000.0        12055.6966647
15500.0        12055.6966647
16000.0        12055.6966647
16500.0        12055.6966647
17000.0        12055.6966647
17500.0        12055.6966647
18000.0        12055.6966647
18500.0        12055.6966647
19000.0        12055.6966647
19500.0        12055.6966647
20000.0        12055.6966647
