wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1442.46191406
1000.0        1442.46191406
1500.0        1442.46191406
2000.0        1442.46191406
2500.0        1442.46191406
3000.0        1646.67562501
3500.0        2308.67293921
4000.0        2960.22089315
4500.0        3853.78833436
5000.0        5084.7750442
5500.0        5967.90312047
6000.0        7275.72484065
6500.0        7849.2610412
7000.0        8137.69515131
7500.0        8260.96302275
8000.0        8260.96302275
8500.0        8260.96302275
9000.0        8260.96302275
9500.0        8260.96302275
10000.0        8260.96302275
10500.0        8260.96302275
11000.0        8260.96302275
11500.0        8260.96302275
12000.0        8260.96302275
12500.0        8260.96302275
13000.0        8260.96302275
13500.0        8260.96302275
14000.0        8260.96302275
14500.0        8260.96302275
15000.0        8260.96302275
15500.0        8260.96302275
16000.0        8260.96302275
16500.0        8260.96302275
17000.0        8260.96302275
17500.0        8260.96302275
18000.0        8260.96302275
18500.0        8260.96302275
19000.0        8260.96302275
19500.0        8260.96302275
20000.0        8260.96302275
