salinity_std_emt_new               !RW 8/29/00 -- AG EC (mmhos/cm) standard at Emmaton (WQCP 5/95)                                         
month     wyt_SAC   ECstandard	ECstandard_BDCP    
7         1         0.45        0.60   
8         1         0.45        0.60   
9         1         0.45        0.60   
10        1         0.45        0.60   
11        1         1.650       2.42    
7         2         0.45        0.60   
8         2         0.45        0.60      
9         2         0.45        0.60   
10        2         0.63        0.87   
11        2         1.740       2.56    
7         3         0.45        0.60   
8         3         0.45        0.60   
9         3         0.680       0.95    
10        3         1.14        1.65   
11        3         1.990       2.93    
7         4         0.45        0.60           
8         4         0.45        0.60   
9         4         1.060       1.52    
10        4         1.67        2.45   
11        4         2.240       3.31    
7         5         2.78        4.13   
8         5         2.78        4.13   
9         5         2.78        4.13   
10        5         2.78        4.13   
11        5         2.780       4.13    
