riovista
month           wyt_SAC                         river_q
1               1                               4000
2               1                               4500
3               1                               4500
4               1                               3000
5               1                               3000
6               1                               3000
7               1                               3000
8               1                               3000
9               1                               3000
10              1                               3000
11              1                               3000
12              1                               3000
1               2                               4000
2               2                               4500
3               2                               4500
4               2                               3000
5               2                               3000
6               2                               3000
7               2                               3000
8               2                               3000
9               2                               3000
10              2                               3000
11              2                               3000
12              2                               3000
1               3                               4000
2               3                               4500
3               3                               4500
4               3                               3000
5               3                               3000
6               3                               3000
7               3                               3000
8               3                               3000
9               3                               3000
10              3                               3000
11              3                               3000
12              3                               3000
1               4                               4000
2               4                               4500
3               4                               4500
4               4                               3000
5               4                               3000
6               4                               3000
7               4                               3000
8               4                               3000
9               4                               3000
10              4                               3000
11              4                               3000
12              4                               3000
1               5                               3000
2               5                               3500
3               5                               3500
4               5                               3000
5               5                               3000
6               5                               3000
7               5                               3000
8               5                               3000
9               5                               3000
10              5                               3000
11              5                               3000
12              5                               3000
