wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4615.86816406
1000.0        4615.86816406
1500.0        4615.86816406
2000.0        4615.86816406
2500.0        4615.86816406
3000.0        4615.86816406
3500.0        4615.86816406
4000.0        4615.86816406
4500.0        4615.86816406
5000.0        4615.86816406
5500.0        4615.86816406
6000.0        4615.86816406
6500.0        4807.0404522
7000.0        5329.46599284
7500.0        5570.89941262
8000.0        6644.64308339
8500.0        7451.86671304
9000.0        8189.25386265
9500.0        8740.26239373
10000.0        9626.2665051
10500.0        10398.4043047
11000.0        11128.7449014
11500.0        11470.4627961
12000.0        11817.0617477
12500.0        11901.7463379
13000.0        12188.0058103
13500.0        12358.2699046
14000.0        12358.2699046
14500.0        12358.2699046
15000.0        12358.2699046
15500.0        12358.2699046
16000.0        12358.2699046
16500.0        12358.2699046
17000.0        12358.2699046
17500.0        12358.2699046
18000.0        12358.2699046
18500.0        12358.2699046
19000.0        12358.2699046
19500.0        12358.2699046
20000.0        12358.2699046
